"","name","Xsqu","df","pval"
"X-squared...1","num.health.table",464.770908264479,8,2.52565303005107e-95
"X-squared...2","leash.health.table",9.44075212105794,6,0.150265436427498
"X-squared...3","leash.num.table",76.2676364735564,12,2.11471621410677e-11
"X-squared...4","act.num.table[2:6, ]",624.423453372211,16,1.50210203577784e-122
"X-squared...5","act.health.table",116.249008606102,10,2.91386352577365e-20
"X-squared...6","act.leash.table[c(2, 3, 5, 6), ]",2002.32852468147,9,0
"X-squared...7","vul.num.table",193.547892468989,16,1.59121034914126e-32
"X-squared...8","vul.health.table",40.8817854731853,8,2.19342549183924e-06
"X-squared...9","vul.leash.table[2:4, ]",193.48149785945,6,4.62586923470009e-39
"X-squared...10","vul.act.table[2:4, 2:5]",89.7670184164428,6,3.38710855511785e-17
"X-squared...11","szn.act.table",66.526001258203,10,2.06754732574717e-10
"X-squared...12","szn.vul.table",77.0233295837838,8,1.93851441901223e-13
"X-squared...13","szn.leash.table",32.8802384108402,6,1.10571032985519e-05
"X-squared...14","szn.num.table",95.5482979695784,8,3.45878351147818e-17
"X-squared...15","szn.health.table",19.4612410176222,4,0.000637778748148256
"X-squared...16","szn.diel.table[, 1:2]",298.878216164154,2,1.25724518029886e-65
"X-squared...17","diel.act.table[1:2, ]",92.6774001099832,5,1.83915670077535e-18
"X-squared...18","diel.vul.table[1:2, ]",39.2089177642626,4,6.3074366935194e-08
"X-squared...19","diel.leash.table[1:2, ]",52.7067358696543,3,2.11722998960333e-11
"X-squared...20","diel.num.table[1:2, ]",240.773761797306,4,6.32140599983083e-51
"X-squared...21","diel.health.table[1:2, ]",155.254876988138,2,1.93567222205137e-34
