"","CoyoteResponse","count","var","perc"
"1","0",4770,"Coyote Boldness",52.2224655134662
"2","1",645,"Coyote Boldness",7.06152835559448
"3","2",348,"Coyote Boldness",3.80994088022772
"4","3",1105,"Coyote Boldness",12.0976571053208
"5","4",381,"Coyote Boldness",4.17122837749069
"6","5",46,"Coyote Boldness",0.50361287497263
"7","6",464,"Coyote Boldness",5.07992117363696
"8","7",218,"Coyote Boldness",2.38668710313116
"9","8",194,"Coyote Boldness",2.12393255966718
"10","9",139,"Coyote Boldness",1.52178673089556
"11","Unknown",824,"Coyote Boldness",9.02123932559667
